"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0U900","2020-04-27 00:00:00","63.000","241.000","1.500","18.900","0.860","1012.500","","0.000","-99.000","-99.000","-99.000","23.200","","18.300",""
"C0Z230","2020-04-27 00:00:00","31.000","293.000","3.400","21.100","0.750","1015.500","","0.000","-99.000","-99.000","-99.000","24.000","","20.500",""
"C0F9O0","2020-04-27 00:00:00","175.000","0.000","0.100","21.200","0.000","995.700","","0.000","-99.000","-99.000","-99.000","25.900","","20.500",""
"C0R770","2020-04-27 00:00:00","93.000","80.000","1.700","23.100","0.840","1005.500","","0.000","-99.000","-99.000","-99.000","28.800","","20.500",""
"C0C540","2020-04-27 00:00:00","46.000","66.000","2.400","21.000","0.720","1011.700","","2.000","-99.000","-99.000","-99.000","24.100","","18.900",""
"C0G770","2020-04-27 00:00:00","15.000","29.000","1.300","22.500","0.770","1014.200","","0.000","-99.000","-99.000","-99.000","25.800","","21.700",""
"C0V670","2020-04-27 00:00:00","20.000","352.000","1.400","24.200","0.760","1013.200","","0.000","-99.000","-99.000","-99.000","29.500","","22.100",""
"C0A870","2020-04-27 00:00:00","685.000","78.000","6.000","16.200","1.000","938.400","","0.000","-99.000","-99.000","-99.000","18.400","","14.900",""
"C0R220","2020-04-27 00:00:00","23.000","263.000","0.800","24.500","0.890","1013.200","","0.000","-99.000","-99.000","-99.000","31.900","","22.000",""
"C0Z220","2020-04-27 00:00:00","589.000","261.000","1.300","16.600","1.000","953.200","","0.000","-99.000","-99.000","-99.000","22.200","","16.500",""
"C0D560","2020-04-27 00:00:00","147.000","46.000","1.100","20.000","0.700","1000.000","","0.500","-99.000","-99.000","-99.000","22.900","","18.700",""
"C0I380","2020-04-27 00:00:00","258.000","0.000","0.000","21.500","0.910","985.700","","0.500","-99.000","-99.000","-99.000","27.700","","19.400",""
"C0X190","2020-04-27 00:00:00","10.000","18.000","2.400","22.900","0.750","1014.500","","0.000","-99.000","-99.000","-99.000","28.100","","21.500",""
"C0S950","2020-04-27 00:00:00","415.000","251.000","1.100","19.500","0.980","969.600","","0.000","-99.000","-99.000","-99.000","24.900","","18.700",""
"C0A880","2020-04-27 00:00:00","6.000","248.000","0.700","18.500","0.920","1016.400","","0.000","-99.000","-99.000","-99.000","21.300","","18.200",""
"C0I530","2020-04-27 00:00:00","3014.000","224.000","8.200","5.600","1.000","-99.000","","-99.000","13.800","233.000","","6.200","","4.300",""
"C0M670","2020-04-27 00:00:00","43.000","37.000","0.900","21.300","0.770","1010.400","","0.000","-99.000","-99.000","-99.000","26.600","","20.500",""
"C0Z061","2020-04-27 00:00:00","174.000","321.000","1.400","19.300","0.990","1001.500","","4.000","-99.000","-99.000","-99.000","29.400","","18.400",""
"C0M730","2020-04-27 00:00:00","40.000","360.000","0.600","22.600","0.710","1010.600","","0.000","-99.000","-99.000","-99.000","29.800","","21.000",""
"C0U750","2020-04-27 00:00:00","398.000","22.000","4.600","18.300","0.880","972.000","","0.000","-99.000","-99.000","-99.000","19.600","","16.600",""
"C0A650","2020-04-27 00:00:00","287.000","0.000","0.000","15.600","0.970","985.100","","0.000","-99.000","-99.000","-99.000","19.900","","15.600",""
"C0K400","2020-04-27 00:00:00","65.000","83.000","0.400","20.800","0.850","1009.000","","0.000","-99.000","-99.000","-99.000","26.800","","20.200",""
"C0I370","2020-04-27 00:00:00","671.000","0.000","0.000","19.600","0.940","941.900","","1.000","-99.000","-99.000","-99.000","25.000","","17.100",""
"C0S750","2020-04-27 00:00:00","2280.000","0.000","0.000","11.100","1.000","776.000","","1.000","-99.000","-99.000","-99.000","18.000","","10.200",""
"C0R650","2020-04-27 00:00:00","29.000","294.000","0.700","24.500","0.830","1013.400","","0.000","-99.000","-99.000","-99.000","31.800","","21.800",""
"C0E740","2020-04-27 00:00:00","27.000","207.000","0.300","20.700","0.940","1014.200","","0.000","-99.000","-99.000","-99.000","25.500","","19.500",""
"C0AI20","2020-04-27 00:00:00","25.000","120.000","3.100","21.300","0.690","1014.900","","0.000","-99.000","-99.000","-99.000","21.500","","19.500",""
"C0E550","2020-04-27 00:00:00","84.000","0.000","0.000","19.200","0.920","1007.600","","0.000","-99.000","-99.000","-99.000","23.100","","18.100",""
"C0X060","2020-04-27 00:00:00","19.000","17.000","2.000","22.100","0.740","1015.500","","0.000","-99.000","-99.000","-99.000","29.300","","20.700",""
"C0AH50","2020-04-27 00:00:00","275.000","86.000","3.200","19.400","0.910","985.600","","0.500","-99.000","-99.000","-99.000","20.900","","18.300",""
"C0R730","2020-04-27 00:00:00","163.000","68.000","3.800","22.700","0.850","997.700","","0.000","-99.000","-99.000","-99.000","29.900","","21.800",""
"C0T9A0","2020-04-27 00:00:00","498.000","0.000","0.000","16.400","0.990","961.900","","2.000","-99.000","-99.000","-99.000","25.400","","16.400",""
"C0K390","2020-04-27 00:00:00","31.000","32.000","1.400","21.100","0.800","1012.300","","0.000","-99.000","-99.000","-99.000","25.900","","20.700",""
